descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,527.48716,0.006785142590328,0.000000647307184
Flood Fringe,100.000000000000000,null,0.005100003144127,0.000000205788857
Floodway,200.000000000000000,68.86382,0.000942735111377,0.000000019715580
Flood Fringe,100.000000000000000,null,0.000198698570016,0.000000001994892
Normal River Channel,500.000000000000000,74.87819,0.000702458281908,0.000000012661857
Flood Fringe,100.000000000000000,2874.84699,0.030837673145401,0.000008271189154
Flood Fringe,100.000000000000000,null,0.015607719781345,0.000002916560945
Flood Fringe,100.000000000000000,null,0.007050836981052,0.000000601190225
Floodway,200.000000000000000,26.83676,0.000354020293380,0.000000004435036
Flood Fringe,100.000000000000000,568.88333,0.007213940926353,0.000000870046254
Floodway,200.000000000000000,17139.50671,0.185475413325929,0.000068458619077
Flood Fringe,100.000000000000000,null,0.002409918296379,0.000000032556112
Floodway,200.000000000000000,16498.12247,0.200717516325483,0.000012432875278
Floodway,200.000000000000000,33.2068,0.000444185717083,0.000000005713342
Floodway,200.000000000000000,1196.20101,0.014274896287080,0.000001536375529
Flood Fringe,100.000000000000000,584.39904,0.007141927079567,0.000000777517611
Flood Fringe,100.000000000000000,376.67307,0.004875349158726,0.000000004134930
Normal River Channel,500.000000000000000,186.92264,0.002303825222383,0.000000092469915
Normal River Channel,500.000000000000000,288.6758,0.003594447935531,0.000000153629135
Floodway,200.000000000000000,32.63769,0.000440743899733,0.000000006802765
Flood Fringe,100.000000000000000,null,0.005659609746759,0.000000941365137
Floodway,200.000000000000000,7774.33844,0.084163164369712,0.000036084249060
Floodway,200.000000000000000,5653.05865,0.074466061105937,0.000021200810584
Normal River Channel,500.000000000000000,127.22974,0.001408654782049,0.000000053289274
Flood Fringe,100.000000000000000,null,0.000226116484258,0.000000002627784
Floodway,200.000000000000000,320.19882,0.003164024422617,0.000000516114970
Floodway,200.000000000000000,101.31853,0.001211762576378,0.000000082547690
Flood Fringe,100.000000000000000,33.02191,0.000457719197267,0.000000000609998
Floodway,200.000000000000000,320.48342,0.003311813639030,0.000000547590043
Flood Fringe,100.000000000000000,null,0.000539013110522,0.000000008041829
Flood Fringe,100.000000000000000,5033.50341,0.068452477522488,0.000029640441180
Floodway,200.000000000000000,38.31174,0.000506209836215,0.000000007604169
Flood Fringe,100.000000000000000,null,0.000314683593868,0.000000002320376
Flood Fringe,100.000000000000000,1280.07759,0.015268715324334,0.000004603872074
Flood Fringe,100.000000000000000,101.26801,0.001210849678749,0.000000082537529
Flood Fringe,100.000000000000000,null,0.000751227158400,0.000000019790556
Floodway,200.000000000000000,221.72473,0.002408596419594,0.000000207148682
Floodway,200.000000000000000,847.59534,0.010433678704333,0.000001772692513
Normal River Channel,500.000000000000000,1189.53359,0.001704733731118,0.000000041243543
Floodway,200.000000000000000,11206.96315,0.119587505689398,0.000058749442991
Normal River Channel,500.000000000000000,537.1913,0.006205617809996,0.000000248481064
Flood Fringe,100.000000000000000,3792.93306,0.044841680214209,0.000036719308519
Flood Fringe,100.000000000000000,null,0.003058586141182,0.000000268479069
Flood Fringe,100.000000000000000,2503.27319,0.029932828663741,0.000021744190994
Normal River Channel,500.000000000000000,789.35165,0.009800484049489,0.000000225796392
Flood Fringe,100.000000000000000,null,0.003222591149785,0.000000140522315
Floodway,200.000000000000000,616.3072,0.008501780138219,0.000001043232497
Floodway,200.000000000000000,11.79554,0.000142274810945,0.000000000954016
Floodway,200.000000000000000,1586.37528,0.015970807256004,0.000004608282521
Normal River Channel,500.000000000000000,194.42922,0.002235066624671,0.000000111596466
Flood Fringe,100.000000000000000,null,0.003608811404109,0.000000470937013
Floodway,200.000000000000000,547.27917,0.006016289060101,0.000001001329396
Normal River Channel,500.000000000000000,56573.89393,0.616339828222762,0.000026207854240
Floodway,200.000000000000000,87.37805,0.001103915890544,0.000000048802729
Floodway,200.000000000000000,60.69797,0.000716112358877,0.000000022486807
Flood Fringe,100.000000000000000,null,0.008557962533102,0.000001226125462
Flood Fringe,100.000000000000000,1272.21517,0.014841908676567,0.000002800848436
Flood Fringe,100.000000000000000,null,0.002121481326991,0.000000068021666
Floodway,200.000000000000000,138.06495,0.001901555092379,0.000000082567179
Flood Fringe,100.000000000000000,null,0.016031674911120,0.000001280044970
Floodway,200.000000000000000,63.40113,0.000685662557819,0.000000031451885
