descriptio,flood_cd,perimeter
Floodway,200.000000000000000,527.48716
Normal River Channel,500.000000000000000,613.85729
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,68.86382
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,154.33849
Normal River Channel,500.000000000000000,74.87819
Flood Fringe,100.000000000000000,2874.84699
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,82.63339
Floodway,200.000000000000000,26.83676
Flood Fringe,100.000000000000000,568.88333
Floodway,200.000000000000000,17139.50671
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,109.45047
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,16498.12247
Floodway,200.000000000000000,33.2068
Floodway,200.000000000000000,1196.20101
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,584.39904
Flood Fringe,100.000000000000000,376.67307
Normal River Channel,500.000000000000000,186.92264
Normal River Channel,500.000000000000000,288.6758
Normal River Channel,500.000000000000000,18.26011
Floodway,200.000000000000000,32.63769
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,7774.33844
Floodway,200.000000000000000,5653.05865
Normal River Channel,500.000000000000000,127.22974
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,320.19882
Floodway,200.000000000000000,101.31853
Flood Fringe,100.000000000000000,33.02191
Floodway,200.000000000000000,320.48342
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,5033.50341
Floodway,200.000000000000000,38.31174
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,1280.07759
Flood Fringe,100.000000000000000,101.26801
Flood Fringe,100.000000000000000,null
Floodway,200.000000000000000,163.92036
Floodway,200.000000000000000,221.72473
Normal River Channel,500.000000000000000,26.05283
Normal River Channel,500.000000000000000,151.88467
Floodway,200.000000000000000,46.44572
Floodway,200.000000000000000,847.59534
Flood Fringe,100.000000000000000,null
Flood Fringe,100.000000000000000,null
Normal River Channel,500.000000000000000,1189.53359
Flood Fringe,100.000000000000000,1044.60245
Floodway,200.000000000000000,11206.96315
Normal River Channel,500.000000000000000,537.1913
Flood Fringe,100.000000000000000,3792.93306
Flood Fringe,100.000000000000000,null
Normal River Channel,500.000000000000000,558.52498
Flood Fringe,100.000000000000000,2503.27319
